10015	IGNORE	(Incomplete or No Cache-control Header Set)
10027	IGNORE	(Information Disclosure - Suspicious Comments)
10055	IGNORE	(CSP: style-src unsafe-inline - required by Chakra UI Emotion CSS-in-JS runtime style injection)
10094	IGNORE	(Base64 Disclosure - false positive from minified JS bundle and CSS-in-JS generated content)
10096	IGNORE	(Timestamp Disclosure - Unix)
10109	IGNORE	(Modern Web Application - informational fingerprinting alert only)
90005	IGNORE	(Sec-Fetch Headers Missing - browser-sent request headers not controllable by server)
6	IGNORE	(Path Traversal - false positive: username field validated with strict ^[a-zA-Z0-9_-]+$ regex preventing traversal chars)
10049	IGNORE	(Non-Storable/Storable Content - auth endpoints correctly non-cacheable; CSRF token reuse per session is intentional)
10104	IGNORE	(User Agent Fuzzer - informational only, not an actionable vulnerability)
10106	IGNORE	(HTTP Only Site - dev/CI environment only; HTTPS enforced in production via Caddy reverse proxy)
10112	IGNORE	(Session Management Response Identified - informational fingerprinting alert only)
100000	IGNORE	(Client/Server Error Response Code - expected HTTP error handling behaviour, not a vulnerability)
100001	IGNORE	(Unexpected Content-Type - SPA frontend routes return HTML; non-API paths are handled by React Router)
# PII Disclosure fires on /auth/csrf-token because the random hex CSRF token
# sometimes contains a digit run that looks like a card number: a brand prefix,
# a valid length and a passing Luhn check. Sampling 300 freshly issued tokens
# produced 3 such substrings, which is why the alert appears and disappears
# between scans. Scoped to this one URL rather than IGNOREd outright, so a real
# PII leak on any other endpoint is still reported.
10062	OUTOFSCOPE	^https?://[^/]+/auth/csrf-token$
